fact_forecasts_key,mtn_name,region_group_key,mtn_range,subrange,latitude,longitude,geo_dimension,elevation,elevation_feature,time_of_scrape,local_time_issued,local_time_of_forecast,time_diff_hours,forecast_time_name,forecast_status,forecast_phrase,wind_speed,actual_wind_speed,wind_speed_diff,abs_wind_speed_diff,snow,actual_snow,snow_diff,abs_snow_diff,rain,actual_rain,rain_diff,abs_rain_diff,max_temp,actual_max_temp,max_temp_diff,abs_max_temp_diff,min_temp,actual_min_temp,min_temp_diff,abs_min_temp_diff,chill,actual_chill,chill_diff,abs_chill_diff,i
4107094cae5c1a013bcd3b21885e3237,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-01T07:00:00,-3,am,actual,some_clouds,15,15,0,0,0,0,0,0,0,0,0,0,-19,-19,0,0,-21,-21,0,0,-31,-31,0,0,1
cdf469170f649c165940cbc3dacfbe3d,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-01T15:00:00,5,pm,forecast,snow_shwrs,15,15,0,0,1,1,0,0,0,0,0,0,-18,-18,0,0,-18,-19,1,1,-28,-29,1,1,2
9a6e8fe088549a26e5b4d5701ceeab20,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-01T23:00:00,13,night,forecast,snow_shwrs,5,10,-5,5,1,0,1,1,0,0,0,0,-20,-20,0,0,-20,-20,0,0,-26,-28,2,2,3
987136bcedff10eb58edc16c24a095ff,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-02T07:00:00,21,am,forecast,clear,10,10,0,0,0,0,0,0,0,0,0,0,-16,-16,0,0,-17,-17,0,0,-24,-23,-1,1,4
9392c63696cbfe31d493d40bd9deb25e,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-02T15:00:00,29,pm,forecast,clear,15,10,5,5,0,0,0,0,0,0,0,0,-15,-15,0,0,-15,-16,1,1,-22,-23,1,1,5
4174e6f88f7680c235744b2309fbf344,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-02T23:00:00,37,night,forecast,clear,20,15,5,5,0,0,0,0,0,0,0,0,-15,-15,0,0,-17,-17,0,0,-25,-24,-1,1,6
586e08e1860f0a233fead030581ff9b9,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-03T07:00:00,45,am,forecast,clear,25,35,-10,10,0,0,0,0,0,0,0,0,-11,-11,0,0,-12,-12,0,0,-19,-21,2,2,7
8cd96e8a62492afbd83f75fa312c3198,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-03T15:00:00,53,pm,forecast,some_clouds,30,35,-5,5,0,0,0,0,0,0,0,0,-10,-12,2,2,-11,-12,1,1,-21,-23,2,2,8
a815d73734c406fbb3027dabb1219acc,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-03T23:00:00,61,night,forecast,some_clouds,25,30,-5,5,0,1,-1,1,0,0,0,0,-12,-13,1,1,-15,-15,0,0,-25,-26,1,1,9
7b3cc42c7cd77a30f5778226e392547d,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-04T07:00:00,69,am,forecast,some_clouds,20,25,-5,5,0,1,-1,1,0,0,0,0,-13,-13,0,0,-14,-14,0,0,-23,-25,2,2,10
c9b819a1ebd6b97c4dabd7407d176db4,k2,1,greater_himalaya,karakoram,35.88139,76.51333,"35.88139,76.51333",6000,,2024-05-01T12:01:00,2024-05-01T10:00:00,2024-05-04T15:00:00,77,pm,forecast,snow_shwrs,20,20,0,0,1,1,0,0,0,0,0,0,-12,-12,0,0,-12,-13,1,1,-21,-22,1,1,11
