x,y
283,7.592592593
281,7.592592593
279,9.137931034
277,8
275,8.75
273,8.148148148
271,8.214285714
269,7.115384615
267,9.821428571
265,5.192307692
263,6.724137931
261,8.076923077
259,6.666666667
257,6.481481481
255,7.931034483
253,4.8
251,6.607142857
249,7.037037037
247,4.285714286
245,5.192307692
243,5.357142857
241,5.555555556
239,3.965517241
237,5.576923077
235,5.357142857
233,4.642857143
231,5.172413793
229,6.538461538
227,6.379310345
225,4.821428571
223,5.357142857
221,5.185185185
219,7.413793103
217,5.740740741
215,6.551724138
213,5.37037037
211,4.464285714
209,6.25
207,6.379310345
205,4.230769231
203,4.310344828
201,6.071428571
199,5.892857143
197,4.814814815
195,5.689655172
193,5.185185185
191,5.172413793
189,5.740740741
187,6.071428571
185,4.642857143
183,6.551724138
181,5.384615385
179,5.517241379
177,5.714285714
175,6.25
173,5.185185185
171,6.034482759
169,5.925925926
167,4.827586207
165,7.592592593
163,5.178571429
161,6.071428571
159,6.551724138
157,5.384615385
155,5.344827586
153,6.25
151,5.357142857
149,5.37037037
147,5.517241379
145,5.892857143
143,5.689655172
141,4.814814815
139,5
137,4.655172414
135,6.034482759
133,4.62962963
131,4.166666667
129,6.25
127,3.392857143
125,4.285714286
123,5.517241379
121,3.888888889
119,3.965517241
117,5.37037037
115,4.642857143
113,4.464285714
111,4.827586207
109,4.4
107,3.965517241
105,5
103,4.821428571
101,4.807692308
99,6.034482759
97,4.62962963
95,3.275862069
93,5.576923077
91,4.464285714
89,4.821428571
87,5.517241379
85,3.75
83,3.275862069
81,4.464285714
79,3.75
77,3.8
75,5.172413793
73,3.703703704
71,2.931034483
69,4.8
67,2.857142857
65,3.928571429
63,4.482758621
61,3.260869565
59,3.793103448
57,3.928571429
55,3.392857143
53,2.5
51,3.275862069
49,3.148148148
47,2.413793103
45,2.916666667
43,2.321428571
41,2.321428571
39,2.75862069
37,2.5
35,2.24137931
33,3.392857143
31,2.5
29,1.956521739
27,2.586206897
25,3.148148148
23,2.068965517
21,2.391304348
19,1.428571429
17,2.857142857
15,2.586206897
13,2.619047619
11,1.551724138
9,1.724137931
7,1.034482759
5,0.909090909
3,0
1,0
-1,0
-3,0
