time_diff,avg_chill_diff
283,3.70
281,3.07
279,3.79
277,3.60
275,3.43
273,2.37
271,3.18
269,3.46
267,2.68
265,3.00
263,3.59
261,3.46
259,2.81
257,3.33
255,2.52
253,3.96
251,3.18
249,2.26
247,2.39
245,3.65
243,2.00
241,2.67
239,3.45
237,2.73
235,2.68
233,3.50
231,1.93
229,2.92
227,3.62
225,2.43
223,2.36
221,2.89
219,2.97
217,2.30
215,2.97
213,2.00
211,2.79
209,2.64
207,2.31
205,1.85
203,3.28
201,1.57
199,1.96
197,2.85
195,2.69
193,1.48
191,2.66
189,1.59
187,1.96
185,2.46
183,2.10
181,1.62
179,2.66
177,1.89
175,1.04
173,2.26
171,1.62
169,1.74
167,2.38
165,1.70
163,1.36
161,2.11
159,1.41
157,0.81
155,2.00
153,1.32
151,1.00
149,1.70
147,1.24
145,1.25
143,2.31
141,1.19
139,0.62
137,2.52
135,1.66
133,0.48
131,2.23
129,1.32
127,0.86
125,2.07
123,1.03
121,0.48
119,2.17
117,1.52
115,0.61
113,1.46
111,0.79
109,0.12
107,1.38
105,0.71
103,0.21
101,1.00
99,0.45
97,0.26
95,1.41
93,0.23
91,-0.25
89,1.21
87,0.34
85,-0.21
83,0.90
81,0.36
79,0.04
77,1.04
75,0.31
73,-0.15
71,0.97
69,0.76
67,0.39
65,1.11
63,0.10
61,0.70
59,1.03
57,0.29
55,0.11
53,0.75
51,0.55
49,0.33
47,0.59
45,0.58
43,-0.21
41,0.89
39,0.45
37,-0.14
35,0.86
33,0.57
31,0.11
29,0.43
27,0.72
25,-0.04
23,0.48
21,0.70
19,0.14
17,0.54
15,0.34
13,0.24
11,0.52
9,0.45
7,-0.41
5,0.23
3,0.00
1,0.00
-1,0.00
-3,0.00
