x,y
283,3.333333333
281,2.259259259
279,2.310344828
277,2.64
275,2.642857143
273,2
271,2.857142857
269,2.538461538
267,2.571428571
265,2.884615385
263,2.344827586
261,2.384615385
259,3.148148148
257,2.296296296
255,1.793103448
253,3
251,2.535714286
249,2.037037037
247,2.25
245,2.192307692
243,2.25
241,2.666666667
239,1.965517241
237,2.076923077
235,2.928571429
233,2.392857143
231,1.655172414
229,2.576923077
227,2.448275862
225,1.928571429
223,2.321428571
221,2.074074074
219,2.172413793
217,2.481481481
215,2.034482759
213,1.777777778
211,2.714285714
209,1.892857143
207,1.896551724
205,2.423076923
203,2.068965517
201,1.464285714
199,2.178571429
197,1.962962963
195,1.931034483
193,1.888888889
191,1.862068966
189,1.518518519
187,2.178571429
185,1.714285714
183,1.448275862
181,2
179,1.620689655
177,1.392857143
175,1.821428571
173,1.555555556
171,1.206896552
169,1.62962963
167,1.655172414
165,1.296296296
163,1.571428571
161,1.392857143
159,1.137931034
157,1.5
155,1.137931034
153,1.142857143
151,1.607142857
149,1.148148148
147,0.896551724
145,1.75
143,1.413793103
141,0.777777778
139,1.482758621
137,1.448275862
135,1.068965517
133,1.296296296
131,1.3
129,0.857142857
127,1.428571429
125,1.178571429
123,0.896551724
121,1.185185185
119,1.172413793
117,0.925925926
115,1.071428571
113,1
111,0.655172414
109,0.96
107,0.931034483
105,0.678571429
103,0.785714286
101,0.769230769
99,0.551724138
97,0.851851852
95,0.827586207
93,0.538461538
91,0.678571429
89,0.857142857
87,0.620689655
85,0.625
83,0.724137931
81,0.5
79,0.857142857
77,0.84
75,0.448275862
73,0.814814815
71,0.724137931
69,0.4
67,0.714285714
65,0.678571429
63,0.448275862
61,0.608695652
59,0.75862069
57,0.5
55,0.607142857
53,0.583333333
51,0.448275862
49,0.703703704
47,0.586206897
45,0.291666667
43,0.571428571
41,0.607142857
39,0.310344828
37,0.318181818
35,0.586206897
33,0.392857143
31,0.392857143
29,0.304347826
27,0.379310345
25,0.37037037
23,0.24137931
21,0.304347826
19,0.357142857
17,0.214285714
15,0.172413793
13,0.047619048
11,0.24137931
9,0.068965517
7,0
5,0.227272727
3,0
1,0
-1,0
-3,0
