x,y
125,2.642857143
123,1.931034483
121,2.259259259
119,2.517241379
117,2.481481481
115,2.678571429
113,2.25
111,1.551724138
109,1.88
107,2.620689655
105,2.142857143
103,1.857142857
101,1.923076923
99,1.689655172
97,2.111111111
95,2.034482759
93,1.846153846
91,2.107142857
89,1.928571429
87,1.517241379
85,1.875
83,1.655172414
81,1.857142857
79,1.678571429
77,2
75,1.689655172
73,1.703703704
71,1.448275862
69,1.72
67,1.75
65,1.607142857
63,1.620689655
61,1.913043478
59,1.379310345
57,1.5
55,1.678571429
53,1.25
51,1.517241379
49,1.592592593
47,1.137931034
45,1.333333333
43,1.714285714
41,1.321428571
39,1.275862069
37,1.136363636
35,1.275862069
33,1.071428571
31,1.392857143
29,0.956521739
27,1.137931034
25,1.222222222
23,1.034482759
21,0.956521739
19,1.214285714
17,0.821428571
15,1.034482759
13,1.095238095
11,0.724137931
9,0.793103448
7,0.551724138
5,0.590909091
3,0
