x,y
125,1.25
123,1.310344828
121,1.481481481
119,1.310344828
117,1.148148148
115,1.5
113,1.214285714
111,1.068965517
109,1.12
107,1.206896552
105,1.035714286
103,1.142857143
101,0.846153846
99,1.103448276
97,1.148148148
95,0.896551724
93,0.769230769
91,1.178571429
89,0.928571429
87,0.75862069
85,0.958333333
83,0.931034483
81,0.928571429
79,0.928571429
77,0.92
75,0.931034483
73,1.111111111
71,0.793103448
69,0.64
67,1
65,0.75
63,0.793103448
61,0.782608696
59,0.75862069
57,0.714285714
55,0.75
53,0.583333333
51,0.655172414
49,0.777777778
47,0.655172414
45,0.458333333
43,0.714285714
41,0.607142857
39,0.517241379
37,0.5
35,0.586206897
33,0.464285714
31,0.464285714
29,0.391304348
27,0.448275862
25,0.518518519
23,0.379310345
21,0.304347826
19,0.357142857
17,0.357142857
15,0.24137931
13,0.047619048
11,0.310344828
9,0.206896552
7,0.137931034
5,0.227272727
3,0
