x,y
125,0.535714286
123,0.310344828
121,0.851851852
119,0.793103448
117,0.296296296
115,0.607142857
113,0.714285714
111,0.206896552
109,0.64
107,0.689655172
105,0.321428571
103,0.75
101,0.576923077
99,0.275862069
97,0.740740741
95,0.75862069
93,0.307692308
91,1.142857143
89,0.678571429
87,0.24137931
85,0.5
83,0.827586207
81,0.25
79,0.892857143
77,0.44
75,0.310344828
73,0.666666667
71,0.827586207
69,0.24
67,0.857142857
65,0.642857143
63,0.24137931
61,0.217391304
59,0.551724138
57,0.25
55,0.714285714
53,0.333333333
51,0.24137931
49,1
47,0.75862069
45,0.166666667
43,0.928571429
41,0.607142857
39,0.379310345
37,0.272727273
35,0.551724138
33,0.285714286
31,0.392857143
29,0.173913043
27,0.310344828
25,0.62962963
23,0.413793103
21,0.130434783
19,0.607142857
17,0.357142857
15,0.103448276
13,0.095238095
11,0.172413793
9,0.068965517
7,0.172413793
5,0.045454545
3,0
