x,y
125,4.285714286
123,5.517241379
121,3.888888889
119,3.965517241
117,5.37037037
115,4.642857143
113,4.464285714
111,4.827586207
109,4.4
107,3.965517241
105,5
103,4.821428571
101,4.807692308
99,6.034482759
97,4.62962963
95,3.275862069
93,5.576923077
91,4.464285714
89,4.821428571
87,5.517241379
85,3.75
83,3.275862069
81,4.464285714
79,3.75
77,3.8
75,5.172413793
73,3.703703704
71,2.931034483
69,4.8
67,2.857142857
65,3.928571429
63,4.482758621
61,3.260869565
59,3.793103448
57,3.928571429
55,3.392857143
53,2.5
51,3.275862069
49,3.148148148
47,2.413793103
45,2.916666667
43,2.321428571
41,2.321428571
39,2.75862069
37,2.5
35,2.24137931
33,3.392857143
31,2.5
29,1.956521739
27,2.586206897
25,3.148148148
23,2.068965517
21,2.391304348
19,1.428571429
17,2.857142857
15,2.586206897
13,2.619047619
11,1.551724138
9,1.724137931
7,1.034482759
5,0.909090909
3,0
