x,y
125,0.392857143
123,0.034482759
121,0.777777778
119,0.586206897
117,-0.074074074
115,0.535714286
113,0.5
111,0
109,0.32
107,0.551724138
105,-0.035714286
103,0.678571429
101,0.269230769
99,0.068965517
97,0.518518519
95,0.620689655
93,0.076923077
91,1.142857143
89,0.607142857
87,-0.103448276
85,0.416666667
83,0.689655172
81,-0.035714286
79,0.821428571
77,0.2
75,-0.034482759
73,0.666666667
71,0.620689655
69,-0.24
67,0.785714286
65,0.357142857
63,0.034482759
61,-0.130434783
59,0.275862069
57,0.035714286
55,0.5
53,0
51,0.103448276
49,0.777777778
47,0.482758621
45,0
43,0.785714286
41,0.464285714
39,0.172413793
37,-0.090909091
35,0.482758621
33,0.142857143
31,0.25
29,0.173913043
27,0.172413793
25,0.555555556
23,0.344827586
21,0.043478261
19,0.392857143
17,0.142857143
15,-0.034482759
13,0
11,0.034482759
9,0
7,0.034482759
5,-0.045454545
3,0
1,0
-1,0
-3,0
