x,y
125,-1.428571429
123,-0.689655172
121,2.407407407
119,-0.862068966
117,-0.925925926
115,1.785714286
113,-0.892857143
111,-0.689655172
109,3.2
107,-0.862068966
105,0.357142857
103,1.964285714
101,0.192307692
99,1.551724138
97,2.777777778
95,-0.172413793
93,0.576923077
91,2.321428571
89,0.178571429
87,1.034482759
85,2.083333333
83,0.172413793
81,0.892857143
79,3.035714286
77,0.2
75,0.344827586
73,2.222222222
71,-0.172413793
69,-0.4
67,2.5
65,-0.714285714
63,1.034482759
61,1.956521739
59,0.344827586
57,0.714285714
55,1.964285714
53,-0.416666667
51,0.172413793
49,2.407407407
47,0.344827586
45,-0.833333333
43,2.321428571
41,-1.607142857
39,0
37,1.136363636
35,-1.206896552
33,-0.178571429
31,1.071428571
29,-0.217391304
27,-0.517241379
25,1.296296296
23,-0.689655172
21,-0.652173913
19,0.714285714
17,-2.142857143
15,-0.172413793
13,0.238095238
11,-0.862068966
9,-1.034482759
7,0
5,0
3,0
