local_time_of_forecast (Date Hour),wind_speed
"May 13, 2024, 7AM",30
"May 13, 2024, 3PM",30
"May 13, 2024, 11PM",30
"May 14, 2024, 7AM",25
"May 14, 2024, 3PM",15
"May 14, 2024, 11PM",15
"May 15, 2024, 7AM",32.5
"May 15, 2024, 3PM",30
"May 15, 2024, 11PM",35
"May 16, 2024, 7AM",35
"May 16, 2024, 3PM",35
"May 16, 2024, 11PM",25
"May 17, 2024, 7AM",20
"May 17, 2024, 3PM",15
"May 17, 2024, 11PM",10
"May 18, 2024, 7AM",20
"May 18, 2024, 3PM",25
"May 18, 2024, 11PM",10
"May 19, 2024, 7AM",7.5
"May 19, 2024, 3PM",20
"May 19, 2024, 11PM",25
"May 20, 2024, 7AM",7.5
"May 20, 2024, 3PM",10
"May 20, 2024, 11PM",5
"May 21, 2024, 7AM",2.5
"May 21, 2024, 3PM",0
"May 21, 2024, 11PM",10
"May 22, 2024, 7AM",10
"May 22, 2024, 3PM",5
"May 22, 2024, 11PM",5
"May 23, 2024, 7AM",5
"May 23, 2024, 3PM",5
"May 23, 2024, 11PM",10
"May 24, 2024, 7AM",5
"May 24, 2024, 3PM",20
"May 24, 2024, 11PM",5
"May 25, 2024, 7AM",12.5
"May 25, 2024, 3PM",10
"May 25, 2024, 11PM",15
"May 26, 2024, 7AM",25
"May 26, 2024, 3PM",10
"May 26, 2024, 11PM",10
"May 27, 2024, 7AM",20
"May 27, 2024, 3PM",5
"May 27, 2024, 11PM",10
"May 28, 2024, 7AM",30
"May 28, 2024, 3PM",30
"May 28, 2024, 11PM",30
"May 29, 2024, 7AM",40
"May 29, 2024, 3PM",25
"May 29, 2024, 11PM",35
"May 30, 2024, 7AM",40
"May 30, 2024, 3PM",40
"May 30, 2024, 11PM",45
"May 31, 2024, 7AM",50
"May 31, 2024, 3PM",30
"May 31, 2024, 11PM",15
"Jun 1, 2024, 7AM",30
"Jun 1, 2024, 3PM",25
"Jun 1, 2024, 11PM",15
"Jun 2, 2024, 7AM",30
"Jun 2, 2024, 3PM",30
"Jun 2, 2024, 11PM",15
"Jun 3, 2024, 7AM",20
"Jun 3, 2024, 3PM",15
"Jun 3, 2024, 11PM",10
"Jun 4, 2024, 7AM",20
"Jun 4, 2024, 3PM",20
"Jun 4, 2024, 11PM",15
"Jun 5, 2024, 7AM",35
"Jun 5, 2024, 3PM",35
"Jun 5, 2024, 11PM",20
"Jun 6, 2024, 7AM",30
"Jun 6, 2024, 3PM",20
"Jun 6, 2024, 11PM",25
"Jun 7, 2024, 7AM",25
"Jun 7, 2024, 3PM",15
"Jun 7, 2024, 11PM",10
"Jun 8, 2024, 7AM",10
"Jun 8, 2024, 3PM",20
"Jun 8, 2024, 11PM",20
"Jun 9, 2024, 7AM",30
"Jun 9, 2024, 3PM",20
"Jun 9, 2024, 11PM",20
"Jun 10, 2024, 7AM",30
"Jun 10, 2024, 3PM",20
"Jun 10, 2024, 11PM",15
"Jun 11, 2024, 7AM",15
"Jun 11, 2024, 3PM",15
"Jun 11, 2024, 11PM",15
"Jun 12, 2024, 7AM",20
"Jun 12, 2024, 3PM",15
"Jun 12, 2024, 11PM",10
"Jun 13, 2024, 7AM",25
"Jun 13, 2024, 3PM",20
"Jun 13, 2024, 11PM",15
"Jun 14, 2024, 7AM",20
"Jun 14, 2024, 3PM",20
"Jun 14, 2024, 11PM",10
"Jun 15, 2024, 7AM",20
"Jun 15, 2024, 3PM",10
"Jun 15, 2024, 11PM",10
"Jun 16, 2024, 7AM",20
"Jun 16, 2024, 3PM",15
"Jun 16, 2024, 11PM",10
"Jun 17, 2024, 7AM",15
"Jun 17, 2024, 3PM",20
"Jun 17, 2024, 11PM",15
"Jun 18, 2024, 7AM",10
"Jun 18, 2024, 3PM",10
"Jun 18, 2024, 11PM",25
"Jun 19, 2024, 7AM",25
"Jun 19, 2024, 3PM",25
"Jun 19, 2024, 11PM",25
"Jun 20, 2024, 7AM",25
"Jun 20, 2024, 3PM",20
"Jun 20, 2024, 11PM",5
"Jun 21, 2024, 7AM",10
"Jun 21, 2024, 3PM",5
"Jun 21, 2024, 11PM",5
"Jun 22, 2024, 7AM",10
"Jun 22, 2024, 3PM",5
"Jun 22, 2024, 11PM",5
"Jun 23, 2024, 7AM",7.5
"Jun 23, 2024, 3PM",5
"Jun 23, 2024, 11PM",5
"Jun 24, 2024, 7AM",5
"Jun 24, 2024, 3PM",5
"Jun 24, 2024, 11PM",15
"Jun 25, 2024, 7AM",10
"Jun 25, 2024, 3PM",0
"Jun 25, 2024, 11PM",5
"Jun 26, 2024, 7AM",10
"Jun 26, 2024, 3PM",0
"Jun 26, 2024, 11PM",5
"Jun 27, 2024, 7AM",5
"Jun 27, 2024, 3PM",10
"Jun 27, 2024, 11PM",15
"Jun 28, 2024, 7AM",15
"Jun 28, 2024, 3PM",15
"Jun 28, 2024, 11PM",10
"Jun 29, 2024, 7AM",10
"Jun 29, 2024, 3PM",15
"Jun 29, 2024, 11PM",10
"Jun 30, 2024, 7AM",10
"Jun 30, 2024, 3PM",10
"Jun 30, 2024, 11PM",10
"Jul 1, 2024, 7AM",5
"Jul 1, 2024, 3PM",10
"Jul 1, 2024, 11PM",10
