local_time_of_forecast (Date Hour),chill
"May 13, 2024, 7AM",-30.5
"May 13, 2024, 3PM",-31
"May 13, 2024, 11PM",-32
"May 14, 2024, 7AM",-31.5
"May 14, 2024, 3PM",-30
"May 14, 2024, 11PM",-30
"May 15, 2024, 7AM",-34.5
"May 15, 2024, 3PM",-32
"May 15, 2024, 11PM",-32
"May 16, 2024, 7AM",-35
"May 16, 2024, 3PM",-32
"May 16, 2024, 11PM",-32
"May 17, 2024, 7AM",-33
"May 17, 2024, 3PM",-29
"May 17, 2024, 11PM",-28
"May 18, 2024, 7AM",-29
"May 18, 2024, 3PM",-31
"May 18, 2024, 11PM",-20
"May 19, 2024, 7AM",-27.5
"May 19, 2024, 3PM",-25
"May 19, 2024, 11PM",-32
"May 20, 2024, 7AM",-27
"May 20, 2024, 3PM",-24
"May 20, 2024, 11PM",-23
"May 21, 2024, 7AM",-20.5
"May 21, 2024, 3PM",-22
"May 21, 2024, 11PM",-24
"May 22, 2024, 7AM",-24
"May 22, 2024, 3PM",-22
"May 22, 2024, 11PM",-18
"May 23, 2024, 7AM",-17.5
"May 23, 2024, 3PM",-21
"May 23, 2024, 11PM",-22
"May 24, 2024, 7AM",-16.5
"May 24, 2024, 3PM",-22
"May 24, 2024, 11PM",-20
"May 25, 2024, 7AM",-17.5
"May 25, 2024, 3PM",-17
"May 25, 2024, 11PM",-20
"May 26, 2024, 7AM",-20
"May 26, 2024, 3PM",-19
"May 26, 2024, 11PM",-17
"May 27, 2024, 7AM",-22
"May 27, 2024, 3PM",-20
"May 27, 2024, 11PM",-12
"May 28, 2024, 7AM",-20
"May 28, 2024, 3PM",-20
"May 28, 2024, 11PM",-20
"May 29, 2024, 7AM",-22
"May 29, 2024, 3PM",-25
"May 29, 2024, 11PM",-17
"May 30, 2024, 7AM",-21
"May 30, 2024, 3PM",-21
"May 30, 2024, 11PM",-22
"May 31, 2024, 7AM",-23
"May 31, 2024, 3PM",-22
"May 31, 2024, 11PM",-23
"Jun 1, 2024, 7AM",-23
"Jun 1, 2024, 3PM",-22
"Jun 1, 2024, 11PM",-22
"Jun 2, 2024, 7AM",-24
"Jun 2, 2024, 3PM",-25
"Jun 2, 2024, 11PM",-26
"Jun 3, 2024, 7AM",-27
"Jun 3, 2024, 3PM",-26
"Jun 3, 2024, 11PM",-24
"Jun 4, 2024, 7AM",-29
"Jun 4, 2024, 3PM",-26
"Jun 4, 2024, 11PM",-24
"Jun 5, 2024, 7AM",-24
"Jun 5, 2024, 3PM",-25
"Jun 5, 2024, 11PM",-23
"Jun 6, 2024, 7AM",-27
"Jun 6, 2024, 3PM",-24
"Jun 6, 2024, 11PM",-24
"Jun 7, 2024, 7AM",-25
"Jun 7, 2024, 3PM",-24
"Jun 7, 2024, 11PM",-20
"Jun 8, 2024, 7AM",-20
"Jun 8, 2024, 3PM",-22
"Jun 8, 2024, 11PM",-20
"Jun 9, 2024, 7AM",-24
"Jun 9, 2024, 3PM",-24
"Jun 9, 2024, 11PM",-22
"Jun 10, 2024, 7AM",-24
"Jun 10, 2024, 3PM",-22
"Jun 10, 2024, 11PM",-20
"Jun 11, 2024, 7AM",-22
"Jun 11, 2024, 3PM",-21
"Jun 11, 2024, 11PM",-20
"Jun 12, 2024, 7AM",-22
"Jun 12, 2024, 3PM",-21
"Jun 12, 2024, 11PM",-17
"Jun 13, 2024, 7AM",-24
"Jun 13, 2024, 3PM",-22
"Jun 13, 2024, 11PM",-17
"Jun 14, 2024, 7AM",-23
"Jun 14, 2024, 3PM",-21
"Jun 14, 2024, 11PM",-18
"Jun 15, 2024, 7AM",-22
"Jun 15, 2024, 3PM",-20
"Jun 15, 2024, 11PM",-17
"Jun 16, 2024, 7AM",-19
"Jun 16, 2024, 3PM",-20
"Jun 16, 2024, 11PM",-18
"Jun 17, 2024, 7AM",-19
"Jun 17, 2024, 3PM",-19
"Jun 17, 2024, 11PM",-18
"Jun 18, 2024, 7AM",-17
"Jun 18, 2024, 3PM",-19
"Jun 18, 2024, 11PM",-20
"Jun 19, 2024, 7AM",-20
"Jun 19, 2024, 3PM",-20
"Jun 19, 2024, 11PM",-23
"Jun 20, 2024, 7AM",-23
"Jun 20, 2024, 3PM",-21
"Jun 20, 2024, 11PM",-13
"Jun 21, 2024, 7AM",-19
"Jun 21, 2024, 3PM",-18
"Jun 21, 2024, 11PM",-18
"Jun 22, 2024, 7AM",-19
"Jun 22, 2024, 3PM",-17
"Jun 22, 2024, 11PM",-13
"Jun 23, 2024, 7AM",-17.5
"Jun 23, 2024, 3PM",-15
"Jun 23, 2024, 11PM",-17
"Jun 24, 2024, 7AM",-15.5
"Jun 24, 2024, 3PM",-15
"Jun 24, 2024, 11PM",-17
"Jun 25, 2024, 7AM",-16
"Jun 25, 2024, 3PM",-16
"Jun 25, 2024, 11PM",-16
"Jun 26, 2024, 7AM",-14.5
"Jun 26, 2024, 3PM",-17
"Jun 26, 2024, 11PM",-15
"Jun 27, 2024, 7AM",-16
"Jun 27, 2024, 3PM",-15
"Jun 27, 2024, 11PM",-19
"Jun 28, 2024, 7AM",-19
"Jun 28, 2024, 3PM",-18
"Jun 28, 2024, 11PM",-19
"Jun 29, 2024, 7AM",-18
"Jun 29, 2024, 3PM",-18
"Jun 29, 2024, 11PM",-18
"Jun 30, 2024, 7AM",-18
"Jun 30, 2024, 3PM",-18
"Jun 30, 2024, 11PM",-17
"Jul 1, 2024, 7AM",-12
"Jul 1, 2024, 3PM",-16
"Jul 1, 2024, 11PM",-16
