fact_forecasts_actual_key,wind_speed,chill
753a1b8749797ba78b8cf542a1dfd1b6,50,-23
37ff44f6927ab3f8109f302acb23f21c,45,-22
3737392d3e6cd6bf2981eed6bd888b05,40,-21
a35f8fa5a7f19bbe00e2debc2faea602,40,-21
da669717d65f06bbd06c927b08da9f6b,40,-22
9702b5f0f0ca41abf4d936c31bd926b9,35,-32
dae1fbd2ea21475ef426f1e52cbcbc2e,35,-25
85756e2b8fee9aa10d044f0e2394d722,35,-17
51c3314c89120f3a653868f2d51b9a4c,35,-24
e5881f7beff78eef15f9a9c4f1bc09a5,35,-32
1de6d8ec803acb67db4423a622f8b669,35,-35
ba4fc6860bd340f61babb261825e26cf,32.5,-34.5
64cc895615e2c27a31c3062c92ee5110,30,-23
0a2f843e0e3b3b7131c2cf5ecdc9240c,30,-24
bc1839d7e10d116f886239eecd345d14,30,-27
10b7676c24e55635c24b1fe0ee3ce5db,30,-20
feaa231a998aa2edf65813393e5fc5bd,30,-31
90e197cb451fed1d641867133dd4dbe5,30,-24
34073cba0ce31ce4a41a3aa9b2c23585,30,-20
885f239d9f9933591427659d597d0b3c,30,-25
ae631959328d6667ebba66863667ddff,30,-22
3c05d93bff299cec0536bbdaf6a7e7e6,30,-30.5
22c020e2945dde1875728629a23c438c,30,-20
70a7f86ae1d31da0df6471872130eaa2,30,-32
c59e11ba2c22e60e63568a4ae82b4808,30,-24
f2b35c982acf86682bf93a37952641d8,30,-32
f66e69721d4d7e2c4e1bafb4048a181e,25,-32
1bedcabbe475112749d4146e12a36b02,25,-32
36fbd3c0095e11e0a51bb729fe7e104c,25,-24
df7def46930c01bc9243abdbc149b881,25,-23
be107d211f11f3868bb007715573a1ab,25,-22
e272d2a572af3dbd096f4fe3148008bd,25,-24
8106ff55a9e1b1114407c0169f5a8b85,25,-20
a8406d7d94afebed4dc3e52df7fdd718,25,-25
b645d9f73ea2f52c5123b2572b849968,25,-20
e471aacc095377ec5fba709a6180341e,25,-20
33776a32956fe43e0bef4507ffb3776e,25,-31.5
8a398f4631562c11e7f2e589dac07d73,25,-31
2f3a31817559610d3d8865403ebb18c3,25,-23
3c6157ba13479bf8e359675ab81b8fca,25,-25
54b12afbb204dc8f5ca083a9ae29e679,25,-20
400c872ba68f4d8e0f3a1cbb746100a5,20,-24
bfe1a83f70dbbcdbd4d6b619f49d8e92,20,-27
da673fa1834122f9ae1bce314876446c,20,-22
6f53331d83ff7b2467bb5f7ccb8d4730,20,-33
056586c1a1854752e38a4d62b2798b96,20,-21
ac82260e450549578e32c9acb945cdd5,20,-22
6102c963cff50091b95315c4f6ab1cac,20,-20
6bf4c3e2d08226fe689ad98129f29ebf,20,-22
21922555ee2de686e44c2a6e06a1c2ef,20,-29
6d5c05d07de766a7f1f2b89c0d6ef581,20,-23
4c59ea34028d3ed3fc56fe32dd58998b,20,-29
2c68f7d81900bdfa5816eb395641bfc9,20,-24
1bba5835ce32c4215e80fd61c5faaaf9,20,-22
3c76724a3f0fcc1772f628849c3ad425,20,-22
f75d160463e9032d6350d030337df522,20,-23
bc6ccad2d85dc7d6ff3f513650ab3580,20,-22
a016c780dcf77c5d56aec2bf9db1db1d,20,-22
a3f17a2b23c7c74017fc0eda2623602a,20,-26
dcf6d5c66b0a90f66a6abc5172abf2ee,20,-21
930ee8a60cdbd2187aebb50ddf60b9d2,20,-22
158ea03a84303790397a0e09f46f6f1c,20,-19
847e565e454a8ebeb29d3df350a7a444,20,-25
6e57d5e3cc89b3d13cf48aa7edbba47d,20,-19
5faa38898038b0b41516dd84f7513f81,15,-30
7ccb17cd6ecd16e2cac7234dd74413a9,15,-22
4081f60e86bf9171d5120f6dab4b0db7,15,-23
8606b9fb5785709f7d365135ca2a9b5a,15,-18
8560dd6ad37ab8ca8a5490b5d2d0d6be,15,-26
344eafcb11f64341bc5e340665c6293e,15,-19
eeddc61cb6a9758770b8ed5a2df5fd90,15,-22
9fa266d9e19e2102ba42f63819409923,15,-29
2f5a0b6a0009bb4488c366350b5fade4,15,-20
9e155b937d9382608ab99c0d86a551ed,15,-26
5e97166fa66507c1a09f617449b8d8e7,15,-21
9c8f42a83b9c80ba8bd40a91c0353a05,15,-18
7964775c6fe77dd6565484fa24ca64b2,15,-20
e51816f45f2d398bc12f0ff05b308f5e,15,-19
48075e6658075e7572b8ce3b1fb14bbf,15,-19
a08aa7b86cd5f8536a1963a9a883a54b,15,-24
2459dda8a31570c9f5c677417dc16ff1,15,-30
6a6b84f24ec03984b0c4ed647b00909c,15,-18
0c977368cc2b6acf6500554182d7f8ef,15,-21
99dc6ccfb3f9763424599ae2f4f80f7c,15,-17
a31760383626892b45340fb4f52ca395,15,-20
8a281744b7660daa85139e324478d76d,15,-17
39c015bfd47113bfcb2b680e45e51a65,15,-24
ce5f19fee2964f23195830227452e611,15,-20
30aca74dd8f9d51431171633e2f84127,12.5,-17.5
96878d1076be63b9114f029bee4bce9a,10,-17
b0b19211d511fa486dc657590d69f2a8,10,-16
5ad24fd1c05c756c207cda90e7700c00,10,-19
9bcc1c46017757add0e936ce3a08f71a,10,-19
c8cee6eb013205c4adc214035934dc96,10,-20
6f780450a3a352dc9221476cdd1ef156,10,-14.5
37e491d5bfa79a3f35d973d780217631,10,-18
c1750143b53efcd16b3bf4d0dad5f95d,10,-24
0bef5d2915fb96fd022a802926b87625,10,-16
1c04fd01c785eb17444ae17a46fccfa6,10,-20
9e19c635a4252a82631869cfa3dbb5ad,10,-17
8fb927775a9a0ca8a0c552ca8c3b84d6,10,-19
f013f743510b1af5ff28f5ac8956c98a,10,-24
fc492fe467d17d9da20decd16b4c16b5,10,-17
856696c6636ba90f810fb1779e1ea324,10,-20
76bd0a6e64c4197447f5e870b9352085,10,-28
818b9175eeb231b2db233e4110eaab20,10,-15
d130f09d445586cb77cb430281e87bd8,10,-17
232331c3e7c3c3331122b4f01241ddee,10,-18
90bea6e4344b268189e44e73e0e4a0de,10,-18
ba5ecaaaf6692263c0e3d88d8c39625c,10,-22
