time_diff_hours,forecast Δt (hours),"average abs(Δ(chill)), degrees C"
125,125,2.642857142857143
123,123,1.9310344827586208
121,121,2.259259259259259
119,119,2.5172413793103448
117,117,2.4814814814814814
115,115,2.6785714285714284
113,113,2.25
111,111,1.5517241379310345
109,109,1.88
107,107,2.6206896551724137
105,105,2.142857142857143
103,103,1.8571428571428572
101,101,1.9230769230769231
99,99,1.6896551724137931
97,97,2.111111111111111
95,95,2.0344827586206895
93,93,1.8461538461538463
91,91,2.107142857142857
89,89,1.9285714285714286
87,87,1.5172413793103448
85,85,1.875
83,83,1.6551724137931034
81,81,1.8571428571428572
79,79,1.6785714285714286
77,77,2
75,75,1.6896551724137931
73,73,1.7037037037037037
71,71,1.4482758620689655
69,69,1.72
67,67,1.75
65,65,1.6071428571428572
63,63,1.6206896551724137
61,61,1.9130434782608696
59,59,1.3793103448275863
57,57,1.5
55,55,1.6785714285714286
53,53,1.25
51,51,1.5172413793103448
49,49,1.5925925925925926
47,47,1.1379310344827587
45,45,1.3333333333333333
43,43,1.7142857142857142
41,41,1.3214285714285714
39,39,1.2758620689655173
37,37,1.1363636363636365
35,35,1.2758620689655173
33,33,1.0714285714285714
31,31,1.3928571428571428
29,29,0.9565217391304348
27,27,1.1379310344827587
25,25,1.2222222222222223
23,23,1.0344827586206897
21,21,0.9565217391304348
19,19,1.2142857142857142
17,17,0.8214285714285714
15,15,1.0344827586206897
13,13,1.0952380952380953
11,11,0.7241379310344828
9,9,0.7931034482758621
7,7,0.5517241379310345
5,5,0.5909090909090909
3,3,0
1,1,0
-1,-1,0
-3,-3,0
