time_diff_hours,forecast Δt (hours),"average abs(Δ(snow)), cm"
125,125,0.5357142857142857
123,123,0.3103448275862069
121,121,0.8518518518518519
119,119,0.7931034482758621
117,117,0.2962962962962963
115,115,0.6071428571428571
113,113,0.7142857142857143
111,111,0.20689655172413793
109,109,0.64
107,107,0.6896551724137931
105,105,0.32142857142857145
103,103,0.75
101,101,0.5769230769230769
99,99,0.27586206896551724
97,97,0.7407407407407407
95,95,0.7586206896551724
93,93,0.3076923076923077
91,91,1.1428571428571428
89,89,0.6785714285714286
87,87,0.2413793103448276
85,85,0.5
83,83,0.8275862068965517
81,81,0.25
79,79,0.8928571428571429
77,77,0.44
75,75,0.3103448275862069
73,73,0.6666666666666666
71,71,0.8275862068965517
69,69,0.24
67,67,0.8571428571428571
65,65,0.6428571428571429
63,63,0.2413793103448276
61,61,0.21739130434782608
59,59,0.5517241379310345
57,57,0.25
55,55,0.7142857142857143
53,53,0.3333333333333333
51,51,0.2413793103448276
49,49,1
47,47,0.7586206896551724
45,45,0.16666666666666666
43,43,0.9285714285714286
41,41,0.6071428571428571
39,39,0.3793103448275862
37,37,0.2727272727272727
35,35,0.5517241379310345
33,33,0.2857142857142857
31,31,0.39285714285714285
29,29,0.17391304347826086
27,27,0.3103448275862069
25,25,0.6296296296296297
23,23,0.41379310344827586
21,21,0.13043478260869565
19,19,0.6071428571428571
17,17,0.35714285714285715
15,15,0.10344827586206896
13,13,0.09523809523809523
11,11,0.1724137931034483
9,9,0.06896551724137931
7,7,0.1724137931034483
5,5,0.045454545454545456
3,3,0
1,1,0
-1,-1,0
-3,-3,0
