time_diff_hours,forecast Δt (hours),"average Δ(minimum temp.), degrees C"
125,125,1.1785714285714286
123,123,0.896551724137931
121,121,1.1851851851851851
119,119,1.1724137931034482
117,117,0.9259259259259259
115,115,1.0714285714285714
113,113,1
111,111,0.6551724137931034
109,109,0.96
107,107,0.9310344827586207
105,105,0.6785714285714286
103,103,0.7857142857142857
101,101,0.7692307692307693
99,99,0.5517241379310345
97,97,0.8518518518518519
95,95,0.8275862068965517
93,93,0.5384615384615384
91,91,0.6785714285714286
89,89,0.8571428571428571
87,87,0.6206896551724138
85,85,0.625
83,83,0.7241379310344828
81,81,0.5
79,79,0.8571428571428571
77,77,0.84
75,75,0.4482758620689655
73,73,0.8148148148148148
71,71,0.7241379310344828
69,69,0.4
67,67,0.7142857142857143
65,65,0.6785714285714286
63,63,0.4482758620689655
61,61,0.6086956521739131
59,59,0.7586206896551724
57,57,0.5
55,55,0.6071428571428571
53,53,0.5833333333333334
51,51,0.4482758620689655
49,49,0.7037037037037037
47,47,0.5862068965517241
45,45,0.2916666666666667
43,43,0.5714285714285714
41,41,0.6071428571428571
39,39,0.3103448275862069
37,37,0.3181818181818182
35,35,0.5862068965517241
33,33,0.39285714285714285
31,31,0.39285714285714285
29,29,0.30434782608695654
27,27,0.3793103448275862
25,25,0.37037037037037035
23,23,0.2413793103448276
21,21,0.30434782608695654
19,19,0.35714285714285715
17,17,0.21428571428571427
15,15,0.1724137931034483
13,13,0.047619047619047616
11,11,0.2413793103448276
9,9,0.06896551724137931
7,7,0
5,5,0.22727272727272727
3,3,0
1,1,0
-1,-1,0
-3,-3,0
