mtn_name,elevation,avg_chill,avg_windspeed
mont_blanc,4807,-18.21,31.91
mont_blanc,4000,-10.32,21.32
mount_mckinley,4500,-20.78,13.58
mount_whitney,4418,-1.28,16
mount_everest,4000,10.32,8.68
nanga_parbat,4500,0.79,8.82
kangchenjunga,4000,9.18,9.12
lhotse,4000,10.32,8.68
dhaulagiri,4500,4.68,13.24
ama_dablam,4000,9.56,10
makalu,4500,6.18,8.53
imja_tse,4500,6.65,9.26
cho_oyu,4500,6.74,12.79
shisha_pangma,4500,6.94,11.47
manaslu,4500,5.29,10.15
annapurna,4500,4.88,12.79
gasherbrum,4500,-1.41,7.35
gasherbrum_ii,4500,-1.56,8.24
broad_peak,4500,-2.09,10.15
k2,4000,2.26,9.41
vinson_massif,4000,-50.02,38.83
