,mtn_name,elevation,elev_feature,time_of_scrape,local_time_issued,forecast_status,local_time_of_forecast,forecast_time_name,forecast_phrase,wind_speed,snow,rain,max_temp,min_temp,chill,freezing_level,cloud_base
0,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,actual,2024-03-25 15:00:00,pm,cloudy,25,0.0,0.0,-1,-1,-7,950,650.0
1,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-25 23:00:00,night,cloudy,20,0.0,0.0,-1,-3,-9,650,1850.0
2,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-26 07:00:00,am,cloudy,20,0.0,0.0,-2,-3,-9,600,800.0
3,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-26 15:00:00,pm,cloudy,15,0.0,0.0,-2,-2,-7,750,2050.0
4,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-26 23:00:00,night,some_clouds,5,0.0,0.0,-3,-5,-5,300,300.0
5,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-27 07:00:00,am,light_snow,5,1.0,0.0,-5,-5,-7,250,150.0
6,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-27 15:00:00,pm,cloudy,5,0.0,0.0,-5,-5,-8,250,150.0
7,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-27 23:00:00,night,cloudy,5,0.0,0.0,-5,-6,-9,0,150.0
8,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-28 07:00:00,am,some_clouds,5,0.0,0.0,-5,-6,-8,0,150.0
9,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-28 15:00:00,pm,some_clouds,0,0.0,0.0,-4,-5,-5,150,150.0
10,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,10,0.0,0.0,-4,-4,-7,0,250.0
11,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-29 07:00:00,am,cloudy,20,0.0,0.0,-5,-6,-14,300,1900.0
12,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-29 15:00:00,pm,some_clouds,25,0.0,0.0,-5,-5,-12,350,700.0
13,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-29 23:00:00,night,some_clouds,25,0.0,0.0,-4,-5,-13,0,350.0
14,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-30 07:00:00,am,cloudy,25,0.0,0.0,-3,-4,-11,350,750.0
15,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-30 15:00:00,pm,cloudy,40,0.0,0.0,-3,-3,-12,600,750.0
16,flattop,1067,peak,2024-03-26 06:01:00,2024-03-25 15:00:00,forecast,2024-03-30 23:00:00,night,some_clouds,75,0.0,0.0,-2,-5,-14,650,400.0
17,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,actual,2024-03-27 07:00:00,am,some_clouds,5,0.0,0.0,-5,-5,-5,300,200.0
18,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,actual,2024-03-25 23:00:00,night,cloudy,20,0.0,0.0,-2,-2,-7,600,1500.0
19,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-26 07:00:00,am,cloudy,20,0.0,0.0,-2,-2,-8,650,1750.0
20,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-26 15:00:00,pm,cloudy,15,0.0,0.0,-2,-2,-6,750,1950.0
21,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-26 23:00:00,night,some_clouds,5,0.0,0.0,-3,-5,-5,300,150.0
22,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-27 07:00:00,am,cloudy,5,0.0,0.0,-5,-5,-5,250,150.0
23,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-27 15:00:00,pm,cloudy,5,0.0,0.0,-5,-5,-5,200,150.0
24,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,actual,2024-03-25 07:00:00,am,some_clouds,20,0.0,0.0,-1,-1,-6,800,1350.0
25,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-25 15:00:00,pm,cloudy,25,0.0,0.0,-1,-1,-7,900,1350.0
26,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-25 23:00:00,night,cloudy,20,0.0,0.0,-2,-3,-8,600,1950.0
27,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-26 07:00:00,am,cloudy,15,0.0,0.0,-2,-3,-8,550,1600.0
28,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-26 15:00:00,pm,cloudy,10,0.0,0.0,-2,-3,-6,700,2050.0
29,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-26 23:00:00,night,cloudy,5,0.0,0.0,-3,-4,-4,400,400.0
30,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-27 07:00:00,am,light_snow,0,2.0,0.0,-4,-4,-4,300,150.0
31,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-27 15:00:00,pm,cloudy,5,0.0,0.0,-4,-4,-6,300,150.0
32,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-27 23:00:00,night,light_snow,10,2.0,0.0,-5,-6,-10,150,150.0
33,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-28 07:00:00,am,some_clouds,10,0.0,0.0,-5,-6,-10,0,150.0
34,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-28 15:00:00,pm,clear,5,0.0,0.0,-4,-5,-5,200,150.0
35,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-28 23:00:00,night,cloudy,10,0.0,0.0,-4,-4,-8,150,150.0
36,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-29 07:00:00,am,cloudy,25,0.0,0.0,-5,-5,-12,300,800.0
37,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-29 15:00:00,pm,cloudy,25,0.0,0.0,-4,-5,-13,450,1550.0
38,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-29 23:00:00,night,cloudy,20,0.0,0.0,-4,-4,-10,200,450.0
39,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-30 07:00:00,am,light_snow,25,1.0,0.0,-3,-4,-11,400,500.0
40,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-30 15:00:00,pm,some_clouds,40,0.0,0.0,-2,-3,-12,650,700.0
41,flattop,1067,peak,2024-03-26 00:01:00,2024-03-25 09:00:00,forecast,2024-03-30 23:00:00,night,clear,40,0.0,0.0,-1,-6,-13,600,100.0
42,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-27 23:00:00,night,some_clouds,5,0.0,0.0,-5,-6,-6,0,150.0
43,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-28 07:00:00,am,some_clouds,5,0.0,0.0,-6,-6,-6,0,150.0
44,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-28 15:00:00,pm,some_clouds,0,0.0,0.0,-5,-6,-6,0,150.0
45,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,10,0.0,0.0,-6,-6,-9,0,150.0
46,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-29 07:00:00,am,cloudy,20,0.0,0.0,-5,-5,-11,200,1750.0
47,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-29 15:00:00,pm,cloudy,35,0.0,0.0,-5,-5,-13,400,1900.0
48,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-29 23:00:00,night,some_clouds,30,0.0,0.0,-4,-5,-14,150,150.0
49,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-30 15:00:00,pm,cloudy,50,0.0,0.0,-3,-4,-14,500,1350.0
50,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-30 23:00:00,night,snow_shwrs,65,6.0,0.0,-2,-5,-17,600,50.0
51,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-31 07:00:00,am,light_snow,20,1.0,0.0,-6,-6,-13,150,650.0
52,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-31 15:00:00,pm,some_clouds,50,0.0,0.0,-7,-7,-18,300,750.0
53,flattop,1067,peak,2024-03-26 12:00:00,2024-03-25 21:00:00,forecast,2024-03-31 23:00:00,night,clear,20,0.0,0.0,-7,-8,-14,0,
54,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-27 23:00:00,night,some_clouds,5,0.0,0.0,-5,-6,-8,150,150.0
55,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-28 07:00:00,am,some_clouds,5,0.0,0.0,-6,-6,-6,0,150.0
56,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-28 15:00:00,pm,some_clouds,5,0.0,0.0,-5,-5,-5,0,150.0
57,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,10,0.0,0.0,-6,-6,-10,0,150.0
58,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-29 07:00:00,am,cloudy,20,0.0,0.0,-5,-5,-11,250,1800.0
59,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-29 15:00:00,pm,some_clouds,25,0.0,0.0,-5,-5,-12,400,1800.0
60,flattop,1067,peak,2024-03-27 19:01:00,2024-03-27 09:00:00,forecast,2024-03-29 23:00:00,night,cloudy,30,0.0,0.0,-4,-5,-13,250,100.0
